"","GROUP","value","concept","variable","siteid","obs_value"
"50","ARDS_18_49",23,"patient","number","site_02",10
"51","ARDS_sup_49",102,"patient","number","site_02",10
"52","NO_SEVERE_18_49",210,"patient","number","site_02",10
"53","NO_SEVERE_sup_49",752,"patient","number","site_02",10
"54","SEVERE_NO_ARDS_18_49",22,"patient","number","site_02",10
"55","SEVERE_NO_ARDS_sup_49",125,"patient","number","site_02",10
"56","ARDS_18_49",23,"patient","26to49","site_02",10
"57","ARDS_sup_49",54,"patient","50to69","site_02",10
"58","ARDS_sup_49",34,"patient","70to79","site_02",10
"59","ARDS_sup_49",14,"patient","80plus","site_02",10
"60","NO_SEVERE_18_49",33,"patient","18to25","site_02",10
"61","NO_SEVERE_18_49",177,"patient","26to49","site_02",10
"62","NO_SEVERE_sup_49",317,"patient","50to69","site_02",10
"63","NO_SEVERE_sup_49",197,"patient","70to79","site_02",10
"64","NO_SEVERE_sup_49",238,"patient","80plus","site_02",10
"65","SEVERE_NO_ARDS_18_49",,"patient","18to25","site_02",10
"66","SEVERE_NO_ARDS_18_49",20,"patient","26to49","site_02",10
"67","SEVERE_NO_ARDS_sup_49",65,"patient","50to69","site_02",10
"68","SEVERE_NO_ARDS_sup_49",35,"patient","70to79","site_02",10
"69","SEVERE_NO_ARDS_sup_49",25,"patient","80plus","site_02",10
"70","ARDS_18_49",,"patient","female","site_02",10
"71","ARDS_18_49",17,"patient","male","site_02",10
"72","ARDS_sup_49",44,"patient","female","site_02",10
"73","ARDS_sup_49",58,"patient","male","site_02",10
"74","NO_SEVERE_18_49",124,"patient","female","site_02",10
"75","NO_SEVERE_18_49",86,"patient","male","site_02",10
"76","NO_SEVERE_sup_49",387,"patient","female","site_02",10
"77","NO_SEVERE_sup_49",365,"patient","male","site_02",10
"78","SEVERE_NO_ARDS_18_49",11,"patient","female","site_02",10
"79","SEVERE_NO_ARDS_18_49",11,"patient","male","site_02",10
"80","SEVERE_NO_ARDS_sup_49",53,"patient","female","site_02",10
"81","SEVERE_NO_ARDS_sup_49",72,"patient","male","site_02",10
"82","ARDS_18_49",18,"patient","no previous contact","site_02",10
"83","ARDS_18_49",,"patient","previous contact","site_02",10
"84","ARDS_sup_49",48,"patient","no previous contact","site_02",10
"85","ARDS_sup_49",54,"patient","previous contact","site_02",10
"86","NO_SEVERE_18_49",88,"patient","no previous contact","site_02",10
"87","NO_SEVERE_18_49",122,"patient","previous contact","site_02",10
"88","NO_SEVERE_sup_49",222,"patient","no previous contact","site_02",10
"89","NO_SEVERE_sup_49",530,"patient","previous contact","site_02",10
"90","SEVERE_NO_ARDS_18_49",14,"patient","no previous contact","site_02",10
"91","SEVERE_NO_ARDS_18_49",,"patient","previous contact","site_02",10
"92","SEVERE_NO_ARDS_sup_49",47,"patient","no previous contact","site_02",10
"93","SEVERE_NO_ARDS_sup_49",78,"patient","previous contact","site_02",10
"94","ARDS_18_49",,"status_at_90","death","site_02",10
"95","ARDS_sup_49",48,"status_at_90","death","site_02",10
"96","NO_SEVERE_18_49",,"status_at_90","death","site_02",10
"97","NO_SEVERE_sup_49",75,"status_at_90","death","site_02",10
"98","SEVERE_NO_ARDS_18_49",,"status_at_90","death","site_02",10
"99","SEVERE_NO_ARDS_sup_49",55,"status_at_90","death","site_02",10
"100","ARDS_18_49",31,"patient","number","site_03",3
"101","ARDS_sup_49",271,"patient","number","site_03",3
"102","NO_SEVERE_18_49",180,"patient","number","site_03",3
"103","NO_SEVERE_sup_49",808,"patient","number","site_03",3
"104","SEVERE_NO_ARDS_18_49",5,"patient","number","site_03",3
"105","SEVERE_NO_ARDS_sup_49",160,"patient","number","site_03",3
"106","ARDS_18_49",,"patient","18to25","site_03",3
"107","ARDS_18_49",29,"patient","26to49","site_03",3
"108","ARDS_sup_49",157,"patient","50to69","site_03",3
"109","ARDS_sup_49",86,"patient","70to79","site_03",3
"110","ARDS_sup_49",28,"patient","80plus","site_03",3
"111","NO_SEVERE_18_49",27,"patient","18to25","site_03",3
"112","NO_SEVERE_18_49",153,"patient","26to49","site_03",3
"113","NO_SEVERE_sup_49",322,"patient","50to69","site_03",3
"114","NO_SEVERE_sup_49",195,"patient","70to79","site_03",3
"115","NO_SEVERE_sup_49",291,"patient","80plus","site_03",3
"116","SEVERE_NO_ARDS_18_49",5,"patient","26to49","site_03",3
"117","SEVERE_NO_ARDS_sup_49",20,"patient","50to69","site_03",3
"118","SEVERE_NO_ARDS_sup_49",31,"patient","70to79","site_03",3
"119","SEVERE_NO_ARDS_sup_49",109,"patient","80plus","site_03",3
"120","ARDS_18_49",13,"patient","female","site_03",3
"121","ARDS_18_49",18,"patient","male","site_03",3
"122","ARDS_sup_49",71,"patient","female","site_03",3
"123","ARDS_sup_49",200,"patient","male","site_03",3
"124","NO_SEVERE_18_49",94,"patient","female","site_03",3
"125","NO_SEVERE_18_49",86,"patient","male","site_03",3
"126","NO_SEVERE_sup_49",354,"patient","female","site_03",3
"127","NO_SEVERE_sup_49",454,"patient","male","site_03",3
"128","SEVERE_NO_ARDS_18_49",,"patient","female","site_03",3
"129","SEVERE_NO_ARDS_18_49",4,"patient","male","site_03",3
"130","SEVERE_NO_ARDS_sup_49",83,"patient","female","site_03",3
"131","SEVERE_NO_ARDS_sup_49",77,"patient","male","site_03",3
"132","ARDS_18_49",27,"patient","no previous contact","site_03",3
"133","ARDS_18_49",4,"patient","previous contact","site_03",3
"134","ARDS_sup_49",235,"patient","no previous contact","site_03",3
"135","ARDS_sup_49",36,"patient","previous contact","site_03",3
"136","NO_SEVERE_18_49",138,"patient","no previous contact","site_03",3
"137","NO_SEVERE_18_49",42,"patient","previous contact","site_03",3
"138","NO_SEVERE_sup_49",580,"patient","no previous contact","site_03",3
"139","NO_SEVERE_sup_49",228,"patient","previous contact","site_03",3
"140","SEVERE_NO_ARDS_18_49",,"patient","no previous contact","site_03",3
"141","SEVERE_NO_ARDS_18_49",3,"patient","previous contact","site_03",3
"142","SEVERE_NO_ARDS_sup_49",105,"patient","no previous contact","site_03",3
"143","SEVERE_NO_ARDS_sup_49",55,"patient","previous contact","site_03",3
"144","ARDS_18_49",4,"status_at_90","death","site_03",3
"145","ARDS_sup_49",79,"status_at_90","death","site_03",3
"146","NO_SEVERE_sup_49",86,"status_at_90","death","site_03",3
"147","SEVERE_NO_ARDS_18_49",,"status_at_90","death","site_03",3
"148","SEVERE_NO_ARDS_sup_49",119,"status_at_90","death","site_03",3
"149","ARDS_18_49",37,"patient","number","site_04",10
"150","ARDS_sup_49",176,"patient","number","site_04",10
"151","NO_SEVERE_18_49",547,"patient","number","site_04",10
"152","NO_SEVERE_sup_49",1421,"patient","number","site_04",10
"153","SEVERE_NO_ARDS_18_49",,"patient","number","site_04",10
"154","SEVERE_NO_ARDS_sup_49",,"patient","number","site_04",10
"155","ARDS_18_49",,"patient","18to25","site_04",10
"156","ARDS_18_49",35,"patient","26to49","site_04",10
"157","ARDS_sup_49",113,"patient","50to69","site_04",10
"158","ARDS_sup_49",46,"patient","70to79","site_04",10
"159","ARDS_sup_49",17,"patient","80plus","site_04",10
"160","NO_SEVERE_18_49",87,"patient","18to25","site_04",10
"161","NO_SEVERE_18_49",460,"patient","26to49","site_04",10
"162","NO_SEVERE_sup_49",748,"patient","50to69","site_04",10
"163","NO_SEVERE_sup_49",379,"patient","70to79","site_04",10
"164","NO_SEVERE_sup_49",294,"patient","80plus","site_04",10
"165","SEVERE_NO_ARDS_18_49",,"patient","26to49","site_04",10
"166","SEVERE_NO_ARDS_sup_49",,"patient","50to69","site_04",10
"167","SEVERE_NO_ARDS_sup_49",,"patient","70to79","site_04",10
"168","ARDS_18_49",15,"patient","female","site_04",10
"169","ARDS_18_49",22,"patient","male","site_04",10
"170","ARDS_sup_49",68,"patient","female","site_04",10
"171","ARDS_sup_49",108,"patient","male","site_04",10
"172","NO_SEVERE_18_49",282,"patient","female","site_04",10
"173","NO_SEVERE_18_49",265,"patient","male","site_04",10
"174","NO_SEVERE_sup_49",647,"patient","female","site_04",10
"175","NO_SEVERE_sup_49",773,"patient","male","site_04",10
"176","SEVERE_NO_ARDS_18_49",,"patient","female","site_04",10
"177","SEVERE_NO_ARDS_18_49",,"patient","male","site_04",10
"178","SEVERE_NO_ARDS_sup_49",,"patient","female","site_04",10
"179","SEVERE_NO_ARDS_sup_49",,"patient","male","site_04",10
"180","ARDS_18_49",25,"patient","no previous contact","site_04",10
"181","ARDS_18_49",12,"patient","previous contact","site_04",10
"182","ARDS_sup_49",97,"patient","no previous contact","site_04",10
"183","ARDS_sup_49",79,"patient","previous contact","site_04",10
"184","NO_SEVERE_18_49",246,"patient","no previous contact","site_04",10
"185","NO_SEVERE_18_49",301,"patient","previous contact","site_04",10
"186","NO_SEVERE_sup_49",560,"patient","no previous contact","site_04",10
"187","NO_SEVERE_sup_49",861,"patient","previous contact","site_04",10
"188","SEVERE_NO_ARDS_18_49",,"patient","previous contact","site_04",10
"189","SEVERE_NO_ARDS_sup_49",,"patient","no previous contact","site_04",10
"190","SEVERE_NO_ARDS_sup_49",,"patient","previous contact","site_04",10
"191","ARDS_18_49",143,"patient","number","site_05",10
"192","ARDS_sup_49",601,"patient","number","site_05",10
"193","NO_SEVERE_18_49",792,"patient","number","site_05",10
"194","NO_SEVERE_sup_49",2080,"patient","number","site_05",10
"195","SEVERE_NO_ARDS_18_49",200,"patient","number","site_05",10
"196","SEVERE_NO_ARDS_sup_49",611,"patient","number","site_05",10
"197","ARDS_18_49",,"patient","18to25","site_05",10
"198","ARDS_18_49",138,"patient","26to49","site_05",10
"199","ARDS_sup_49",345,"patient","50to69","site_05",10
"200","ARDS_sup_49",149,"patient","70to79","site_05",10
"201","ARDS_sup_49",107,"patient","80plus","site_05",10
"202","NO_SEVERE_18_49",91,"patient","18to25","site_05",10
"203","NO_SEVERE_18_49",701,"patient","26to49","site_05",10
"204","NO_SEVERE_sup_49",950,"patient","50to69","site_05",10
"205","NO_SEVERE_sup_49",497,"patient","70to79","site_05",10
"206","NO_SEVERE_sup_49",633,"patient","80plus","site_05",10
"207","SEVERE_NO_ARDS_18_49",18,"patient","18to25","site_05",10
"208","SEVERE_NO_ARDS_18_49",182,"patient","26to49","site_05",10
"209","SEVERE_NO_ARDS_sup_49",319,"patient","50to69","site_05",10
"210","SEVERE_NO_ARDS_sup_49",157,"patient","70to79","site_05",10
"211","SEVERE_NO_ARDS_sup_49",135,"patient","80plus","site_05",10
"212","ARDS_18_49",47,"patient","female","site_05",10
"213","ARDS_18_49",96,"patient","male","site_05",10
"214","ARDS_sup_49",228,"patient","female","site_05",10
"215","ARDS_sup_49",373,"patient","male","site_05",10
"216","NO_SEVERE_18_49",423,"patient","female","site_05",10
"217","NO_SEVERE_18_49",369,"patient","male","site_05",10
"218","NO_SEVERE_sup_49",1031,"patient","female","site_05",10
"219","NO_SEVERE_sup_49",1049,"patient","male","site_05",10
"220","SEVERE_NO_ARDS_18_49",126,"patient","female","site_05",10
"221","SEVERE_NO_ARDS_18_49",74,"patient","male","site_05",10
"222","SEVERE_NO_ARDS_sup_49",290,"patient","female","site_05",10
"223","SEVERE_NO_ARDS_sup_49",321,"patient","male","site_05",10
"224","ARDS_18_49",81,"patient","no previous contact","site_05",10
"225","ARDS_18_49",62,"patient","previous contact","site_05",10
"226","ARDS_sup_49",219,"patient","no previous contact","site_05",10
"227","ARDS_sup_49",382,"patient","previous contact","site_05",10
"228","NO_SEVERE_18_49",282,"patient","no previous contact","site_05",10
"229","NO_SEVERE_18_49",510,"patient","previous contact","site_05",10
"230","NO_SEVERE_sup_49",487,"patient","no previous contact","site_05",10
"231","NO_SEVERE_sup_49",1593,"patient","previous contact","site_05",10
"232","SEVERE_NO_ARDS_18_49",55,"patient","no previous contact","site_05",10
"233","SEVERE_NO_ARDS_18_49",145,"patient","previous contact","site_05",10
"234","SEVERE_NO_ARDS_sup_49",96,"patient","no previous contact","site_05",10
"235","SEVERE_NO_ARDS_sup_49",515,"patient","previous contact","site_05",10
"236","ARDS_18_49",16,"status_at_90","death","site_05",10
"237","ARDS_sup_49",238,"status_at_90","death","site_05",10
"238","NO_SEVERE_18_49",,"status_at_90","death","site_05",10
"239","NO_SEVERE_sup_49",228,"status_at_90","death","site_05",10
"240","SEVERE_NO_ARDS_18_49",,"status_at_90","death","site_05",10
"241","SEVERE_NO_ARDS_sup_49",98,"status_at_90","death","site_05",10
"242","ARDS_18_49",136,"patient","number","site_06",3
"243","ARDS_sup_49",450,"patient","number","site_06",3
"244","NO_SEVERE_18_49",1316,"patient","number","site_06",3
"245","NO_SEVERE_sup_49",3547,"patient","number","site_06",3
"246","SEVERE_NO_ARDS_18_49",364,"patient","number","site_06",3
"247","SEVERE_NO_ARDS_sup_49",898,"patient","number","site_06",3
"248","ARDS_18_49",4,"patient","18to25","site_06",3
"249","ARDS_18_49",132,"patient","26to49","site_06",3
"250","ARDS_sup_49",273,"patient","50to69","site_06",3
"251","ARDS_sup_49",114,"patient","70to79","site_06",3
"252","ARDS_sup_49",63,"patient","80plus","site_06",3
"253","NO_SEVERE_18_49",173,"patient","18to25","site_06",3
"254","NO_SEVERE_18_49",1143,"patient","26to49","site_06",3
"255","NO_SEVERE_sup_49",1768,"patient","50to69","site_06",3
"256","NO_SEVERE_sup_49",837,"patient","70to79","site_06",3
"257","NO_SEVERE_sup_49",942,"patient","80plus","site_06",3
"258","SEVERE_NO_ARDS_18_49",63,"patient","18to25","site_06",3
"259","SEVERE_NO_ARDS_18_49",301,"patient","26to49","site_06",3
"260","SEVERE_NO_ARDS_sup_49",457,"patient","50to69","site_06",3
"261","SEVERE_NO_ARDS_sup_49",256,"patient","70to79","site_06",3
"262","SEVERE_NO_ARDS_sup_49",185,"patient","80plus","site_06",3
"263","ARDS_18_49",47,"patient","female","site_06",3
"264","ARDS_18_49",89,"patient","male","site_06",3
"265","ARDS_sup_49",158,"patient","female","site_06",3
"266","ARDS_sup_49",292,"patient","male","site_06",3
"267","NO_SEVERE_18_49",735,"patient","female","site_06",3
"268","NO_SEVERE_18_49",581,"patient","male","site_06",3
"269","NO_SEVERE_sup_49",1723,"patient","female","site_06",3
"270","NO_SEVERE_sup_49",1824,"patient","male","site_06",3
"271","SEVERE_NO_ARDS_18_49",233,"patient","female","site_06",3
"272","SEVERE_NO_ARDS_18_49",131,"patient","male","site_06",3
"273","SEVERE_NO_ARDS_sup_49",407,"patient","female","site_06",3
"274","SEVERE_NO_ARDS_sup_49",491,"patient","male","site_06",3
"275","ARDS_18_49",98,"patient","no previous contact","site_06",3
"276","ARDS_18_49",38,"patient","previous contact","site_06",3
"277","ARDS_sup_49",189,"patient","no previous contact","site_06",3
"278","ARDS_sup_49",261,"patient","previous contact","site_06",3
"279","NO_SEVERE_18_49",553,"patient","no previous contact","site_06",3
"280","NO_SEVERE_18_49",763,"patient","previous contact","site_06",3
"281","NO_SEVERE_sup_49",1254,"patient","no previous contact","site_06",3
"282","NO_SEVERE_sup_49",2293,"patient","previous contact","site_06",3
"283","SEVERE_NO_ARDS_18_49",111,"patient","no previous contact","site_06",3
"284","SEVERE_NO_ARDS_18_49",253,"patient","previous contact","site_06",3
"285","SEVERE_NO_ARDS_sup_49",245,"patient","no previous contact","site_06",3
"286","SEVERE_NO_ARDS_sup_49",653,"patient","previous contact","site_06",3
"287","ARDS_18_49",22,"status_at_90","death","site_06",3
"288","ARDS_sup_49",163,"status_at_90","death","site_06",3
"289","NO_SEVERE_18_49",4,"status_at_90","death","site_06",3
"290","NO_SEVERE_sup_49",182,"status_at_90","death","site_06",3
"291","SEVERE_NO_ARDS_18_49",13,"status_at_90","death","site_06",3
"292","SEVERE_NO_ARDS_sup_49",191,"status_at_90","death","site_06",3
"293","ARDS_18_49",38,"patient","number","site_07",10
"294","ARDS_sup_49",158,"patient","number","site_07",10
"295","NO_SEVERE_18_49",290,"patient","number","site_07",10
"296","NO_SEVERE_sup_49",785,"patient","number","site_07",10
"297","SEVERE_NO_ARDS_18_49",150,"patient","number","site_07",10
"298","SEVERE_NO_ARDS_sup_49",388,"patient","number","site_07",10
"299","ARDS_18_49",,"patient","18to25","site_07",10
"300","ARDS_18_49",37,"patient","26to49","site_07",10
"301","ARDS_sup_49",100,"patient","50to69","site_07",10
"302","ARDS_sup_49",36,"patient","70to79","site_07",10
"303","ARDS_sup_49",22,"patient","80plus","site_07",10
"304","NO_SEVERE_18_49",35,"patient","18to25","site_07",10
"305","NO_SEVERE_18_49",255,"patient","26to49","site_07",10
"306","NO_SEVERE_sup_49",375,"patient","50to69","site_07",10
"307","NO_SEVERE_sup_49",154,"patient","70to79","site_07",10
"308","NO_SEVERE_sup_49",256,"patient","80plus","site_07",10
"309","SEVERE_NO_ARDS_18_49",26,"patient","18to25","site_07",10
"310","SEVERE_NO_ARDS_18_49",124,"patient","26to49","site_07",10
"311","SEVERE_NO_ARDS_sup_49",197,"patient","50to69","site_07",10
"312","SEVERE_NO_ARDS_sup_49",95,"patient","70to79","site_07",10
"313","SEVERE_NO_ARDS_sup_49",96,"patient","80plus","site_07",10
"314","ARDS_18_49",11,"patient","female","site_07",10
"315","ARDS_18_49",27,"patient","male","site_07",10
"316","ARDS_sup_49",67,"patient","female","site_07",10
"317","ARDS_sup_49",91,"patient","male","site_07",10
"318","NO_SEVERE_18_49",152,"patient","female","site_07",10
"319","NO_SEVERE_18_49",138,"patient","male","site_07",10
"320","NO_SEVERE_sup_49",341,"patient","female","site_07",10
"321","NO_SEVERE_sup_49",444,"patient","male","site_07",10
"322","SEVERE_NO_ARDS_18_49",74,"patient","female","site_07",10
"323","SEVERE_NO_ARDS_18_49",76,"patient","male","site_07",10
"324","SEVERE_NO_ARDS_sup_49",161,"patient","female","site_07",10
"325","SEVERE_NO_ARDS_sup_49",227,"patient","male","site_07",10
"326","ARDS_18_49",30,"patient","no previous contact","site_07",10
"327","ARDS_18_49",,"patient","previous contact","site_07",10
"328","ARDS_sup_49",76,"patient","no previous contact","site_07",10
"329","ARDS_sup_49",82,"patient","previous contact","site_07",10
"330","NO_SEVERE_18_49",139,"patient","no previous contact","site_07",10
"331","NO_SEVERE_18_49",151,"patient","previous contact","site_07",10
"332","NO_SEVERE_sup_49",324,"patient","no previous contact","site_07",10
"333","NO_SEVERE_sup_49",461,"patient","previous contact","site_07",10
"334","SEVERE_NO_ARDS_18_49",50,"patient","no previous contact","site_07",10
"335","SEVERE_NO_ARDS_18_49",100,"patient","previous contact","site_07",10
"336","SEVERE_NO_ARDS_sup_49",108,"patient","no previous contact","site_07",10
"337","SEVERE_NO_ARDS_sup_49",280,"patient","previous contact","site_07",10
"338","ARDS_18_49",14,"status_at_90","death","site_07",10
"339","ARDS_sup_49",68,"status_at_90","death","site_07",10
"340","NO_SEVERE_18_49",,"status_at_90","death","site_07",10
"341","NO_SEVERE_sup_49",48,"status_at_90","death","site_07",10
"342","SEVERE_NO_ARDS_18_49",,"status_at_90","death","site_07",10
"343","SEVERE_NO_ARDS_sup_49",78,"status_at_90","death","site_07",10
"344","ARDS_18_49",21,"patient","number","site_08",5
"345","ARDS_sup_49",107,"patient","number","site_08",5
"346","NO_SEVERE_18_49",111,"patient","number","site_08",5
"347","NO_SEVERE_sup_49",328,"patient","number","site_08",5
"348","SEVERE_NO_ARDS_18_49",8,"patient","number","site_08",5
"349","SEVERE_NO_ARDS_sup_49",59,"patient","number","site_08",5
"350","ARDS_18_49",21,"patient","26to49","site_08",5
"351","ARDS_sup_49",73,"patient","50to69","site_08",5
"352","ARDS_sup_49",25,"patient","70to79","site_08",5
"353","ARDS_sup_49",9,"patient","80plus","site_08",5
"354","NO_SEVERE_18_49",18,"patient","18to25","site_08",5
"355","NO_SEVERE_18_49",93,"patient","26to49","site_08",5
"356","NO_SEVERE_sup_49",168,"patient","50to69","site_08",5
"357","NO_SEVERE_sup_49",78,"patient","70to79","site_08",5
"358","NO_SEVERE_sup_49",82,"patient","80plus","site_08",5
"359","SEVERE_NO_ARDS_18_49",,"patient","18to25","site_08",5
"360","SEVERE_NO_ARDS_18_49",6,"patient","26to49","site_08",5
"361","SEVERE_NO_ARDS_sup_49",31,"patient","50to69","site_08",5
"362","SEVERE_NO_ARDS_sup_49",20,"patient","70to79","site_08",5
"363","SEVERE_NO_ARDS_sup_49",8,"patient","80plus","site_08",5
"364","ARDS_18_49",6,"patient","female","site_08",5
"365","ARDS_18_49",15,"patient","male","site_08",5
"366","ARDS_sup_49",22,"patient","female","site_08",5
"367","ARDS_sup_49",85,"patient","male","site_08",5
"368","NO_SEVERE_18_49",61,"patient","female","site_08",5
"369","NO_SEVERE_18_49",50,"patient","male","site_08",5
"370","NO_SEVERE_sup_49",132,"patient","female","site_08",5
"371","NO_SEVERE_sup_49",196,"patient","male","site_08",5
"372","SEVERE_NO_ARDS_18_49",,"patient","female","site_08",5
"373","SEVERE_NO_ARDS_18_49",5,"patient","male","site_08",5
"374","SEVERE_NO_ARDS_sup_49",20,"patient","female","site_08",5
"375","SEVERE_NO_ARDS_sup_49",39,"patient","male","site_08",5
"376","ARDS_18_49",17,"patient","no previous contact","site_08",5
"377","ARDS_18_49",,"patient","previous contact","site_08",5
"378","ARDS_sup_49",92,"patient","no previous contact","site_08",5
"379","ARDS_sup_49",15,"patient","previous contact","site_08",5
"380","NO_SEVERE_18_49",90,"patient","no previous contact","site_08",5
"381","NO_SEVERE_18_49",21,"patient","previous contact","site_08",5
"382","NO_SEVERE_sup_49",246,"patient","no previous contact","site_08",5
"383","NO_SEVERE_sup_49",82,"patient","previous contact","site_08",5
"384","SEVERE_NO_ARDS_18_49",6,"patient","no previous contact","site_08",5
"385","SEVERE_NO_ARDS_18_49",,"patient","previous contact","site_08",5
"386","SEVERE_NO_ARDS_sup_49",41,"patient","no previous contact","site_08",5
"387","SEVERE_NO_ARDS_sup_49",18,"patient","previous contact","site_08",5
"388","ARDS_18_49",6,"status_at_90","death","site_08",5
"389","ARDS_sup_49",67,"status_at_90","death","site_08",5
"390","NO_SEVERE_sup_49",24,"status_at_90","death","site_08",5
"391","SEVERE_NO_ARDS_18_49",,"status_at_90","death","site_08",5
"392","SEVERE_NO_ARDS_sup_49",12,"status_at_90","death","site_08",5
"393","ARDS_18_49",73,"patient","number","site_09",10
"394","ARDS_sup_49",267,"patient","number","site_09",10
"395","NO_SEVERE_18_49",749,"patient","number","site_09",10
"396","NO_SEVERE_sup_49",970,"patient","number","site_09",10
"397","SEVERE_NO_ARDS_18_49",44,"patient","number","site_09",10
"398","SEVERE_NO_ARDS_sup_49",133,"patient","number","site_09",10
"399","ARDS_18_49",,"patient","18to25","site_09",10
"400","ARDS_18_49",71,"patient","26to49","site_09",10
"401","ARDS_sup_49",163,"patient","50to69","site_09",10
"402","ARDS_sup_49",76,"patient","70to79","site_09",10
"403","ARDS_sup_49",28,"patient","80plus","site_09",10
"404","NO_SEVERE_18_49",156,"patient","18to25","site_09",10
"405","NO_SEVERE_18_49",593,"patient","26to49","site_09",10
"406","NO_SEVERE_sup_49",583,"patient","50to69","site_09",10
"407","NO_SEVERE_sup_49",220,"patient","70to79","site_09",10
"408","NO_SEVERE_sup_49",167,"patient","80plus","site_09",10
"409","SEVERE_NO_ARDS_18_49",14,"patient","18to25","site_09",10
"410","SEVERE_NO_ARDS_18_49",30,"patient","26to49","site_09",10
"411","SEVERE_NO_ARDS_sup_49",80,"patient","50to69","site_09",10
"412","SEVERE_NO_ARDS_sup_49",33,"patient","70to79","site_09",10
"413","SEVERE_NO_ARDS_sup_49",20,"patient","80plus","site_09",10
"414","ARDS_18_49",34,"patient","female","site_09",10
"415","ARDS_18_49",39,"patient","male","site_09",10
"416","ARDS_sup_49",97,"patient","female","site_09",10
"417","ARDS_sup_49",170,"patient","male","site_09",10
"418","NO_SEVERE_18_49",429,"patient","female","site_09",10
"419","NO_SEVERE_18_49",320,"patient","male","site_09",10
"420","NO_SEVERE_sup_49",478,"patient","female","site_09",10
"421","NO_SEVERE_sup_49",492,"patient","male","site_09",10
"422","SEVERE_NO_ARDS_18_49",18,"patient","female","site_09",10
"423","SEVERE_NO_ARDS_18_49",26,"patient","male","site_09",10
"424","SEVERE_NO_ARDS_sup_49",49,"patient","female","site_09",10
"425","SEVERE_NO_ARDS_sup_49",84,"patient","male","site_09",10
"426","ARDS_18_49",48,"patient","no previous contact","site_09",10
"427","ARDS_18_49",25,"patient","previous contact","site_09",10
"428","ARDS_sup_49",143,"patient","no previous contact","site_09",10
"429","ARDS_sup_49",124,"patient","previous contact","site_09",10
